Id,Nme,Desc
1326,Defeat Razorwind Bugbear Worker of Northwind Plateau.,Defeat Razorwind Bugbear Worker {TaskCount} time(s).
1327,Defeat Razorwind Bugbear Devourer of Northwind Plateau.,Defeat Razorwind Bugbear Devourer {TaskCount} time(s).
1328,Defeat Razorwind Bugbear Fighter of Northwind Plateau.,Defeat Razorwind Bugbear Fighter {TaskCount} time(s).
1329,Defeat Bear Grylle of Northwind Plateau.,Defeat Bear Grylle {TaskCount} time(s).
1330,Defeat Gaytin of Northwind Plateau.,Defeat Gaytin {TaskCount} time(s).
1331,@1320,@1320
1332,@1321,@1321
1333,@1322,@1322
1334,@1323,@1323
1335,@1324,@1324
1336,@1325,@1325
1337,@1326,@1326
1338,@1327,@1327
1339,@1328,@1328
1340,@1329,@1329
1341,@1330,@1330
1342,@1320,@1320
1343,@1321,@1321
1344,@1322,@1322
1345,@1323,@1323
1346,@1324,@1324
1347,@1325,@1325
1348,@1326,@1326
1349,@1327,@1327
1350,@1328,@1328
1351,@1329,@1329
1352,@1330,@1330
1353,Defeat Cruel Nymph Rose of Northwind Plateau.,Defeat Cruel Nymph Rose {TaskCount} time(s).
1354,Defeat Plateau Atrox of Northwind Plateau.,Defeat Atrox {TaskCount} time(s).
1355,Defeat Leto Lizardman Guard of Northwind Plateau.,@491
1356,Defeat Leto Lizardman Sentinel of Northwind Plateau.,Defeat Leto Lizardman Sentinel {TaskCount} time(s).
1357,Defeat Leto Lizardman Shaman of Northwind Plateau.,@490
1358,Defeat Leto Lizardman Infiltrator of Northwind Plateau.,Defeat Leto Lizardman Infiltrator {TaskCount} time(s).
1359,Defeat Leto Lizardman Priest of Northwind Plateau.,Defeat Leto Lizardman Priest {TaskCount} time(s).
1360,Defeat Leto Lizardman Guardian of Northwind Plateau.,Defeat Leto Lizardman Guardian {TaskCount} time(s).
1361,Defeat Xeno of Northwind Plateau.,Defeat Xeno {TaskCount} time(s).
1362,@1353,@1353
1363,@1354,@1354
1364,@1355,@491
1365,@1356,@1356
1366,@1357,@490
1367,@1358,@1358
1368,@1359,@1359
1369,@1360,@1360
1370,@1361,@1361
1371,@1353,@1353
1372,@1354,@1354
1373,@1355,@491
1374,@1356,@1356
1375,@1357,@490
1376,@1358,@1358
1377,@1359,@1359
1378,@1360,@1360
1379,@1361,@1361
1380,@1353,@1353
1381,@1354,@1354
1382,@1355,@491
1383,@1356,@1356
1384,@1357,@490
1385,@1358,@1358
1386,@1359,@1359
1387,@1360,@1360
1388,@1361,@1361
1389,Defeat Timak Orc Sentinel of Northwind Plateau.,Defeat Timak Orc Sentinel {TaskCount} time(s).
1390,Defeat Kazan’s Guard of Northwind Plateau.,Defeat Kazan’s Guard {TaskCount} time(s).
1391,Defeat Kazan’s Seeker of Northwind Plateau.,Defeat Kazan’s Seeker {TaskCount} time(s).
1392,Defeat Kazan’s Slave Foreman of Northwind Plateau.,Defeat Kazan’s Slave Foreman {TaskCount} time(s).
1393,Defeat Timak Orc Elite Soldier of Northwind Plateau.,Defeat Timak Orc Elite Soldier {TaskCount} time(s).
1394,Defeat Tanor Avenger of Northwind Plateau.,Defeat Tanor Avenger {TaskCount} time(s).
1395,Defeat Tanor Recruit of Northwind Plateau.,Defeat Tanor Recruit {TaskCount} time(s).
1396,Defeat Tanor Tribal Chief Royal Guard of Northwind Plateau.,Defeat Tanor Tribal Chief Royal Guard {TaskCount} time(s).
1397,Defeat Tanor Wizard of Northwind Plateau.,Defeat Tanor Wizard {TaskCount} time(s).
1398,Defeat Tanor Tribe Guardian of Northwind Plateau.,Defeat Tanor Tribe Guardian {TaskCount} time(s).
1399,Defeat Silenos of Northwind Plateau.,Defeat Silenos {TaskCount} time(s).
1400,Defeat Toruq of Northwind Plateau.,Defeat Toruq {TaskCount} time(s).
1401,Defeat Karix of Northwind Plateau.,Defeat Karix {TaskCount} time(s).
1402,@1389,@1389
1403,@1390,@1390
1404,@1391,@1391
1405,@1392,@1392
1406,@1393,@1393
1407,@1394,@1394
1408,@1395,@1395
1409,@1396,@1396
1410,@1397,@1397
1411,@1398,@1398
1412,@1399,@1399
1413,@1400,@1400
1414,@1401,@1401
1415,@1389,@1389
1416,@1390,@1390
1417,@1391,@1391
1418,@1392,@1392
1419,@1393,@1393
1420,@1394,@1394
1421,@1395,@1395
1422,@1396,@1396
1423,@1397,@1397
1424,@1398,@1398
1425,@1399,@1399
1426,@1400,@1400
1427,@1401,@1401
1428,Defeat Blind Reaper of Eternal Lands.,Defeat Blind Reaper {TaskCount} time(s).
1429,Defeat Corrupted Willow of Eternal Lands.,Defeat Corrupted Willow {TaskCount} time(s).
1430,Defeat Soul Harvester of Eternal Lands.,Defeat Soul Harvester {TaskCount} time(s).
1431,Defeat Walking Fungus of Eternal Lands.,@720
1432,Defeat Armored Howlers of Eternal Lands.,Defeat Armored Howlers {TaskCount} time(s).
1433,Defeat Soul Collector of Eternal Lands.,Defeat Soul Collector {TaskCount} time(s).
1434,Defeat Barrier Watchman of Eternal Lands.,Defeat Barrier Watchman {TaskCount} time(s).
1435,Defeat Sadistic Grandis Destroyer of Eternal Lands.,Defeat Sadistic Grandis Destroyer {TaskCount} time(s).
1436,Defeat Host Fungus of Eternal Lands.,Defeat Host Fungus {TaskCount} time(s).
1437,@1428,@1428
1438,@1429,@1429
1439,@1430,@1430
1440,@1431,@720
1441,@1432,@1432
1442,@1433,@1433
1443,@1434,@1434
1444,@1435,@1435
1445,@1436,@1436
1446,@1428,@1428
1447,@1429,@1429
1448,@1430,@1430
1449,@1431,@720
1450,@1432,@1432
1451,@1433,@1433
1452,@1434,@1434
1453,@1435,@1435
1454,@1436,@1436
1455,@1428,@1428
1456,@1429,@1429
1457,@1430,@1430
1458,@1431,@720
1459,@1432,@1432
1460,@1433,@1433
1461,@1434,@1434
1462,@1435,@1435
1463,@1436,@1436
1464,Defeat Oel Mahum Shaman of Eternal Lands.,Defeat Oel Mahum Shaman {TaskCount} time(s).
1465,Defeat Oel Mahum Pillager of Eternal Lands.,Defeat Oel Mahum Pillager {TaskCount} time(s).
1466,Defeat Oel Mahum Shredder of Eternal Lands.,Defeat Oel Mahum Shredder {TaskCount} time(s).
1467,Defeat Oel Mahum Worker of Eternal Lands.,Defeat Oel Mahum Worker {TaskCount} time(s).
1468,Defeat Oel Mahum Fighter of Eternal Lands.,Defeat Oel Mahum Fighter {TaskCount} time(s).
1469,Defeat Oel Mahum Destroyer of Eternal Lands.,Defeat Oel Mahum Destroyer {TaskCount} time(s).
1470,Defeat Grandis Destroyer of Eternal Lands.,@1058
1471,Defeat the Dark Brotherhood of Eternal Lands.,Defeat the Dark Brotherhood {TaskCount} time(s).
1472,Defeat Reba of Eternal Lands.,Defeat Reba {TaskCount} time(s).
1473,Defeat Shadow of Eternal Lands.,Defeat Shadow {TaskCount} time(s).
1474,@1464,@1464
1475,@1465,@1465
1476,@1466,@1466
1477,@1467,@1467
1478,@1468,@1468
1479,@1469,@1469
1480,@1470,@1058
1481,@1471,@1471
1482,@1472,@1472
1483,@1473,@1473
1484,@1464,@1464
1485,@1465,@1465
1486,@1466,@1466
1487,@1467,@1467
1488,@1468,@1468
1489,@1469,@1469
1490,@1470,@1058
1491,@1471,@1471
1492,@1472,@1472
1493,@1473,@1473
1494,Defeat Spore Fungus of Eternal Lands.,Defeat Spore Fungus {TaskCount} time(s).
1495,Defeat Spore Bat of Eternal Lands.,Defeat Spore Bat {TaskCount} time(s).
1496,Defeat Parasite Zombie of Eternal Lands.,Defeat Parasite Zombie {TaskCount} time(s).
1497,Defeat Wyrm of Eternal Lands.,@925
1498,Defeat Result of Greed of Eternal Lands.,Defeat Result of Greed {TaskCount} time(s).
1499,Defeat Soul Eater of Eternal Lands.,Defeat Soul Eater {TaskCount} time(s).
1500,Defeat Spore Spider of Eternal Lands.,Defeat Spore Spider {TaskCount} time(s).
1501,Defeat Water Seer of Eternal Lands.,Defeat Water Seer {TaskCount} time(s).
1502,Defeat Obsidian Golem of Eternal Lands.,Defeat Obsidian Golem {TaskCount} time(s).
1503,Defeat Pan Luems of Eternal Lands.,Defeat Pan Luems {TaskCount} time(s).
1504,Defeat Rotten Spore Fungus of Eternal Lands.,Defeat Rotten Spore Fungus {TaskCount} time(s).
1505,Defeat Herven of Eternal Lands.,Defeat Herven {TaskCount} time(s).
1506,@1494,@1494
1507,@1495,@1495
1508,@1496,@1496
1509,@1497,@925
1510,@1498,@1498
1511,@1499,@1499
1512,@1500,@1500
1513,@1501,@1501
1514,@1502,@1502
1515,@1503,@1503
1516,@1504,@1504
1517,@1505,@1505
1518,@1494,@1494
1519,@1495,@1495
1520,@1496,@1496
1521,@1497,@925
1522,@1498,@1498
1523,@1499,@1499
1524,@1500,@1500
1525,@1501,@1501
1526,@1502,@1502
1527,@1503,@1503
1528,@1504,@1504
1529,@1505,@1505
1530,Defeat Fierce Nymph of Eternal Lands.,Defeat Fierce Nymph {TaskCount} time(s).
1531,Defeat Nightmare Spirit of Eternal Lands.,Defeat Nightmare Spirit {TaskCount} time(s).
1532,Defeat Soul Slasher of Eternal Lands.,@250
1533,Defeat Vampire Bat of Eternal Lands.,@525
1534,Defeat Doom Servant of Eternal Lands.,@801
1535,Defeat Nymph Rose of Eternal Lands.,Defeat Nymph Rose {TaskCount} time(s).
1536,Defeat Vile Nymph of Eternal Lands.,Defeat Vile Nymph {TaskCount} time(s).
1537,Defeat Vile Pan Luems of Eternal Lands.,Defeat Vile Pan Luems {TaskCount} time(s).
1538,Defeat Larva of Eternal Lands.,Defeat Larva {TaskCount} time(s).
1539,@1530,@1530
1540,@1531,@1531
1541,@1532,@250
1542,@1533,@525
1543,@1534,@801
1544,@1535,@1535
1545,@1536,@1536
1546,@1537,@1537
1547,@1538,@1538
1548,@1530,@1530
1549,@1531,@1531
1550,@1532,@250
1551,@1533,@525
1552,@1534,@801
1553,@1535,@1535
1554,@1536,@1536
1555,@1537,@1537
1556,@1538,@1538
1557,@1530,@1530
1558,@1531,@1531
1559,@1532,@250
1560,@1533,@525
1561,@1534,@801
1562,@1535,@1535
1563,@1536,@1536
1564,@1537,@1537
1565,@1538,@1538
1566,Defeat Grendel of Ivory Tower Conquered Territory.,@1320
1567,Defeat Bandit Rookie of Ivory Tower Conquered Territory.,Defeat Bandit Rookie {TaskCount} time(s).
1568,Defeat Bandit Scout of Ivory Tower Conquered Territory.,Defeat Bandit Scout {TaskCount} time(s).
1569,Defeat Bandit Looter of Ivory Tower Conquered Territory.,Defeat Bandit Looter {TaskCount} time(s).
1570,Defeat Bandit Cutthroat of Ivory Tower Conquered Territory.,Defeat Bandit Cutthroat {TaskCount} time(s).
1571,Defeat Bandit Plunderer of Ivory Tower Conquered Territory.,Defeat Bandit Plunderer {TaskCount} time(s).
1572,Defeat Bandit Shaman of Ivory Tower Conquered Territory.,Defeat Bandit Shaman {TaskCount} time(s).
1573,Defeat Bandit Warrior of Ivory Tower Conquered Territory.,Defeat Bandit Warrior {TaskCount} time(s).
1574,Defeat Bandit Fighter of Ivory Tower Conquered Territory.,Defeat Bandit Fighter {TaskCount} time(s).
1575,Defeat Ferocious Grendel of Ivory Tower Conquered Territory.,Defeat Ferocious Grendel {TaskCount} time(s).
1576,Defeat Bandit High Shaman of Ivory Tower Conquered Territory.,Defeat Bandit High Shaman {TaskCount} time(s).
1577,Defeat Tarba of Ivory Tower Conquered Territory.,Defeat Tarba {TaskCount} time(s).
1578,@1566,@1320
1579,@1567,@1567
1580,@1568,@1568
1581,@1569,@1569
1582,@1570,@1570
1583,@1571,@1571
1584,@1572,@1572
1585,@1573,@1573
1586,@1574,@1574
1587,@1575,@1575
1588,@1576,@1576
1589,@1577,@1577
1590,@1566,@1320
1591,@1567,@1567
1592,@1568,@1568
1593,@1569,@1569
1594,@1570,@1570
1595,@1571,@1571
1596,@1572,@1572
1597,@1573,@1573
1598,@1574,@1574
1599,@1575,@1575
1600,@1576,@1576
1601,@1577,@1577
1602,Defeat Forest Wyrm of Ivory Tower Conquered Territory.,Defeat Forest Wyrm {TaskCount} time(s).
1603,Defeat Dark Witch of Ivory Tower Conquered Territory.,Defeat Dark Witch {TaskCount} time(s).
1604,Defeat Timak Orc Archer of Ivory Tower Conquered Territory.,Defeat Timak Orc Archer {TaskCount} time(s).
1605,Defeat Timak Orc Fighter of Ivory Tower Conquered Territory.,Defeat Timak Orc Fighter {TaskCount} time(s).
1606,Defeat Timak Orc Seeker of Ivory Tower Conquered Territory.,Defeat Timak Orc Seeker {TaskCount} time(s).
1607,Defeat Atrox of Ivory Tower Conquered Territory.,Defeat Atrox {TaskCount} time(s).
1608,Defeat Giant Leech of Ivory Tower Conquered Territory.,@397
1609,Defeat Timak Orc Warrior of Ivory Tower Conquered Territory.,Defeat Timak Orc Warrior {TaskCount} time(s).
1610,Defeat Timak Orc Sentinel of Ivory Tower Conquered Territory.,Defeat Timak Orc Sentinel {TaskCount} time(s).
1611,Defeat Marata of Ivory Tower Conquered Territory.,Defeat Marata {TaskCount} time(s).
1612,Defeat Kreta of Ivory Tower Conquered Territory.,Defeat Kreta {TaskCount} time(s).
1613,@1602,@1602
1614,@1603,@1603
1615,@1604,@1604
1616,@1605,@1605
1617,@1606,@1606
1618,@1607,@1607
1619,@1608,@397
1620,@1609,@1609
1621,@1610,@1610
1622,@1611,@1611
1623,@1612,@1612
1624,@1602,@1602
1625,@1603,@1603
1626,@1604,@1604
1627,@1605,@1605
1628,@1606,@1606
1629,@1607,@1607
1630,@1608,@397
1631,@1609,@1609
1632,@1610,@1610
1633,@1611,@1611
1634,@1612,@1612
1635,Defeat Timak Orc White Captain of Ivory Tower Conquered Territory.,Defeat Timak Orc White Captain {TaskCount} time(s).
1636,Defeat Timak Orc Officer of Ivory Tower Conquered Territory.,Defeat Timak Orc Officer {TaskCount} time(s).
1637,Defeat Timak Orc Berserker of Ivory Tower Conquered Territory.,Defeat Timak Orc Berserker {TaskCount} time(s).
1638,Defeat Timak Orc Elite Rangers of Ivory Tower Conquered Territory.,Defeat Timak Orc Elite Rangers {TaskCount} time(s).
1639,Defeat Timak Orc Elite Soldier of Ivory Tower Conquered Territory.,@1393
1640,Defeat Timak Orc Tribal Chief of Ivory Tower Conquered Territory.,Defeat Timak Orc Tribal Chief {TaskCount} time(s).
1641,Defeat Timak Orc Archer of Ivory Tower Conquered Territory.,Defeat Timak Orc Archer {TaskCount} time(s).
1642,Defeat Morta of Ivory Tower Conquered Territory.,Defeat Morta {TaskCount} time(s).
1643,Defeat Mita of Ivory Tower Conquered Territory.,Defeat Mita {TaskCount} time(s).
1644,@1635,@1635
1645,@1636,@1636
1646,@1637,@1637
1647,@1638,@1638
1648,@1639,@1393
1649,@1640,@1640
1650,@1641,@1641
1651,@1642,@1642
1652,@1643,@1643
1653,@1635,@1635
1654,@1636,@1636
1655,@1637,@1637
1656,@1638,@1638
1657,@1639,@1393
1658,@1640,@1640
1659,@1641,@1641
1660,@1642,@1642
1661,@1643,@1643
1662,@1635,@1635
1663,@1636,@1636
1664,@1637,@1637
1665,@1638,@1638
1666,@1639,@1393
1667,@1640,@1640
1668,@1641,@1641
1669,@1642,@1642
1670,@1643,@1643
1671,Defeat Gargoyle of Ivory Tower Conquered Territory.,Defeat Ivory Tower Gargoyle {TaskCount} time(s).
1672,Defeat Ivory Tower Guardian Golem of Ivory Tower Conquered Territory.,Defeat Ivory Tower Guardian Golem {TaskCount} time(s).
1673,Defeat Fallen Knight of Ivory Tower Conquered Territory.,Defeat Fallen Knight {TaskCount} time(s).
1674,Defeat Void Hound of Ivory Tower Conquered Territory.,Defeat Void Hound {TaskCount} time(s).
1675,Defeat Staunch Gargoyle of Ivory Tower Conquered Territory.,Defeat Staunch Gargoyle {TaskCount} time(s).
1676,Defeat Ferocious Void Hound of Ivory Tower Conquered Territory.,Defeat Ferocious Void Hound {TaskCount} time(s).
1677,Defeat Malfunctioning Guardian of Ivory Tower Conquered Territory.,Defeat Malfunctioning Guardian {TaskCount} time(s).
1678,Defeat Dark Knight of Ivory Tower Conquered Territory.,Defeat Dark Knight {TaskCount} time(s).
1679,Defeat Dark Brotherhood High Priest of Ivory Tower Conquered Territory.,Defeat Dark Brotherhood High Priest {TaskCount} time(s).
1680,Defeat Embrion’s Squire of Ivory Tower Conquered Territory.,Defeat Embrion’s Squire {TaskCount} time(s).
1681,Defeat Defender of Ivory Tower Conquered Territory.,Defeat Defender {TaskCount} time(s).
1682,Defeat Arita of Ivory Tower Conquered Territory.,Defeat Arita {TaskCount} time(s).
1683,@1671,@1671
1684,@1672,@1672
1685,@1673,@1673
1686,@1674,@1674
1687,@1675,@1675
1688,@1676,@1676
1689,@1677,@1677
1690,@1678,@1678
1691,@1679,@1679
1692,@1680,@1680
1693,@1681,@1681
1694,@1682,@1682
1695,@1671,@1671
1696,@1672,@1672
1697,@1673,@1673
1698,@1674,@1674
1699,@1675,@1675
1700,@1676,@1676
1701,@1677,@1677
1702,@1678,@1678
1703,@1679,@1679
1704,@1680,@1680
1705,@1681,@1681
1706,@1682,@1682
