I;Xzme,Desc,Desc2
9000064,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000065,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000066,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000067,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000068,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000069,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000070,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000071,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000072,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000073,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000074,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000075,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000076,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000077,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000078,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000079,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000080,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000081,[確定報酬付き]バレンタイン武器召喚ボックス10＋1個,"バレンタイン武器を含めた
R～URランクの装備が獲得できる
召喚ボックスです。
 7回購入すると、
URランクのバレンタイン武器を
もれなくプレゼント！
 各装備は確率で獲得できます。
詳細はお知らせをご確認ください。",
9000082,新背景装飾品ステップアップ召喚ボックス10+1個,"新背景装飾品登場！
「新背景装飾品ステップアップ召喚ボックス10+1個」

ステップ1 ブルーダイヤ 300個（マイレージ19個）
ステップ2 ブルーダイヤ 600個（マイレージ38個）
ステップ3 ブルーダイヤ 900個（マイレージ57個）

割引価格で召喚ボックスを購入できるチャンス！
新背景装飾品をGETしよう！

販売期間：3/7(水)~3/21(水) 23:59",
9000083,新背景装飾品ステップアップ召喚ボックス10+1個,"新背景装飾品登場！
「新背景装飾品ステップアップ召喚ボックス10+1個」

ステップ1 ブルーダイヤ 300個（マイレージ19個）
ステップ2 ブルーダイヤ 600個（マイレージ38個）
ステップ3 ブルーダイヤ 900個（マイレージ57個）

割引価格で召喚ボックスを購入できるチャンス！
新背景装飾品をGETしよう！

販売期間：3/7(水)~3/21(水) 23:59",
9000084,新背景装飾品ステップアップ召喚ボックス10+1個,"新背景装飾品登場！
「新背景装飾品ステップアップ召喚ボックス10+1個」

ステップ1 ブルーダイヤ 300個（マイレージ19個）
ステップ2 ブルーダイヤ 600個（マイレージ38個）
ステップ3 ブルーダイヤ 900個（マイレージ57個）

割引価格で召喚ボックスを購入できるチャンス！
新背景装飾品をGETしよう！

販売期間：3/7(水)~3/21(水) 23:59",
30014001,マーブルの加護,"大地の神マーブルのご保護が宿る宝石です。
装備の強化に使うと強化失敗時に強化度が下がりません。",
30014002,[PVP攻撃]マーブルの加護,"大地の神マーブルのご保護が宿る宝石です。
装備の強化に使うと強化失敗時に強化度が下がりません。",
30014003,[PVP防御]マーブルの加護,"大地の神マーブルのご保護が宿る宝石です。
装備の強化に使うと強化失敗時に強化度が下がりません。",
30014004,[魔物攻撃]マーブルの加護,"大地の神マーブルのご保護が宿る宝石です。
装備の強化に使うと強化失敗時に強化度が下がりません。",
30014005,[魔物防御]マーブルの加護,"大地の神マーブルのご保護が宿る宝石です。
装備の強化に使うと強化失敗時に強化度が下がりません。",
30014006,[エリート攻撃]マーブルの加護,"大地の神マーブルのご保護が宿る宝石です。
装備の強化に使うと強化失敗時に強化度が下がりません。",
30014007,[エリート防御]マーブルの加護,"大地の神マーブルのご保護が宿る宝石です。
装備の強化に使うと強化失敗時に強化度が下がりません。",
30014008,[ボス攻撃]マーブルの加護,"大地の神マーブルのご保護が宿る宝石です。
装備の強化に使うと強化失敗時に強化度が下がりません。",
30014009,[ボス防御]マーブルの加護,"大地の神マーブルのご保護が宿る宝石です。
装備の強化に使うと強化失敗時に強化度が下がりません。",
30014010,[ノーマル攻撃]マーブルの加護,"大地の神マーブルのご保護が宿る宝石です。
装備の強化に使うと強化失敗時に強化度が下がりません。",
30014011,特性の石：SRランク,"古代の下巨人のオーラが宿る石です。
装備の特性強化に使います。",
30014012,血の証40個,"血盟のレベルを上げるときに
使える材料です。",
30014013,レッドスターストーン20個,血盟ダンジョンのリセットに使います。,
30014014,HPエリクサーエッセンス,"HPエリクサー製作に使われる
エッセンスです。",
30014015,MPエリクサーエッセンス,"MPエリクサー製作に使われる
エッセンスです。",
30014016,攻撃力エリクサーエッセンス,攻撃力エリクサー製作に使われるエッセンスです。,
30014017,防御力エリクサーエッセンス,防御力エリクサー製作に使われるエッセンスです。,
30014018,メーンライオン召喚用角笛,メーンライオンを有効にする際に使われます。,
