Id,KOValue,ENValue,TWValue,THValue
1215,애널,titsnass,,sh1tting
1216,애뮈,titt,,sh1ttings
1217,애믜,titt*,,sh1tty
1218,애뷔,tittenmaus,,sh3ist3r
1219,애액,tittie,,sheister
1220,애좌,tittie5,,shi t
1221,앰병,tittiefucker,,shiat
1222,앰빙,titties,,shiet
1223,앰창,titty,,shit
1224,앵신새끼,Tittybear,,shite
1225,양년,tittyfuck,,shiteat
1226,양아취,tittywank,,shited
1227,얨병,titwank,,shitfull
1228,얼싸,tokyorose,,shithead
1229,엄마먹었당,tonyzerega,,shiting
1230,엄창,tossalad,,shitings
1231,에미,tossingsalad,,shitman
1232,에비,tosssalad,,shits
1233,엠병,Towel Head,,shitstab
1234,엠창,towelhead,,shitted
1235,여엄병,trannie,,shitter
1236,연놈,tranny,,shitters
1237,연병,transexual,,shitting
1238,엳빠,transsexual,,shittings
1239,염뱅할,transvestite,,shitty
1240,염병,TrufButLer,,SHlT
1241,염뵹,Trufflebuter,,sitonmyface
1242,엿가튼,Trufflebutter,,sl3az3
1243,엿같은,TruffleBUTTerr,,slag
1244,엿같이,TruffleBuutter,,sleaze
1245,엿놈,turbanhead,,slut
1246,엿머거,turdburglars,,slutass
1247,엿먹어,turdsplat,,sluts
1248,엿먹으셈,tw4t,,slutz
1249,엿이다,twathead,,slutznwhore
1250,엿쳐무라,twatlick,,smut
1251,옂빠,twats,,snatch
1252,옅빠,twatsuck,,sonteen
1253,옘병,twatty,,sperm
1254,옘빙,twaty,,spermburp
1255,오나니,uglynig,,spermpants
1256,오랄,Uncle Fucker,,spick
1257,오럴,updabut,,spooge
1258,오입,upmybutthole,,spoogebob
1259,올가즘,urethra,,spunk
1260,옴창,urinat,,su d
1261,왕버지,urmama,,suck
1262,왕자지,urmom,,Sucker
1263,왕잠지,v14gra,,suckme
1264,왕털버지,v1gra,,suckmydick
1265,왕털보지,va1jina,,sucmybawl
1266,왕털자지,vag1na,,sud teen
1267,왕털잠지,vagiina,,SuDDDD
1268,운지,vagimampf,,sudteen
1269,원조교제,vagina,,supabiatch
1270,유깝,VAGINAL,,sux
1271,유깦,vaj1na,,tite
1272,유방핧아,vajayjay,,twat
1273,유방핧어,vajina,,Unalis
1274,유욱갑,vanginus,,v0yuer
1275,육갚,vasect,,vageyenuh
1276,육구자세,venereal,,vagina
1277,육깝,veronicahart,,vaginal
1278,육깦,viagra,,vaginallip
1279,육봉,vibrator,,vaginuh
1280,육시럴,vullva,,vagiskin
1281,육실할,vulva,,vipebay
1282,육실헐,w00se,,vulva
1283,육씨랄년,w0p,,w3tback
1284,육씨랄놈,w3tb4ck,,wanker
1285,윤간,w4nk,,wanking
1286,이새꺄,wangmaster,,wetback
1287,이세꺄,wank,,wh0re
1288,이쇅,wanker,,whore
1289,이쉐꺄,wankoff,,y e d
1290,이쉑,wanky,,y ed
1291,이쉑꺄,warslut,,ye d
1292,이시끼,WEBXXX,,yed
1293,입걸레,Wee Wee,,Yed Mea
1294,ㅈㄹㄷ,welfarmonkey,,yet hear
1295,자기핧아,wetback,,yet mae
1296,자쉭,wetback*,,yet mai
1297,자쥐,wetdream,,yet mang
1298,자쥐털,wetmunch,,yet mather !
1299,자즤,wetmunch!,,yet mea
1300,작은보지,wetmuncher,,Yet Yet
1301,잠짓물마셔,wh00r,,yetmai
1302,잡껏,wh0re,,yettamon
1303,잡넘,whackoff,,your father
1304,잡년,whackyiraqi,,your father dead
1305,잡노무,whoar,,your father die
1306,잡뇬,whore,,your father die ?
1307,잡탱아,whosurdaddy,,your father die?
1308,저까,wifebeater,,your father?
1309,저까튼,wigger,,your mother
1310,저깐,winnipuuh,,your mother dead
1311,저꽈튼,WONJOSEX,,เ เ ม่ ง
1312,저꽛튼,WORLDSEX,,เ ย็ ด
1313,저떠,wtf,,เ ย็ด
1314,저떠씨벵,WWW,,เ สื อ ก
1315,저빱,www_,,เ ห ี้ ย
1316,저세끼,wyfebeater,,เ!้ย
1317,저썌끼,xrated,,เ.ป.ร.ต
1318,저엇,xxx,,เ.ย็.ด
1319,저엊,Yaoi,,เ.ย็.ด.แ.ม่
1320,적가튼,yaoiking,,เ.สื.อ.ก
1321,적까,yaoiqueen,,เ+ย็+ด
1322,적꽈튼,youranus,,เเคมปลิ้น
1323,전까,yuckfou,,เกมมาสเตอร์
1324,전라도,yuckfu,,เงี่ยน
1325,전만한,z4b0urah,,เงี้ยน
1326,젓가튼,z4bourah,,เจดแม่
1327,젓갓,zabourah,,เจ็ทแม่
1328,젓같,zoophilia,,เจสแม่
1329,젓같내,zuhälter,,เจี๊ยว
1330,젓같네,zwergpimmel,,เจือก
1331,젓같다,,,เชรี่ย
1332,젓같은,,,เชรี้ย
1333,젓같은?,,,เช่าวัก
1334,젓까,,,เชี้ย
1335,젓꺽쥐,,,เชี่ยเย็ด
1336,젓꺽지,,,เชี่ยเย้ด
1337,젓꼭쥐,,,เชี่ยแดก
1338,젓꼭지,,,เชี่ยแม่
1339,젓나,,,เชี่ยแม่ง
1340,젓냄새,,,เชี่ยแม่ม
1341,젓대가리,,,เชี่ยแมร่ง
1342,젓떠,,,เชี่ยแสรด
1343,젓또,,,เชี่ยโคด
1344,젓랄,,,เชี่ยโคตร
1345,젓마나,,,เชี่ยกรุ
1346,젓마니,,,เชี่ยกรู
1347,젓마무리,,,เชี่ยกาก
1348,젓만아,,,เชี่ยกุ
1349,젓만이,,,เชี่ยครวย
1350,젓만한게,,,เชี่ยควย
1351,젓물,,,เชี่ยควาย
1352,젓밥,,,เชี่ยคุวย
1353,젓빱,,,เชี่ยชิบ
1354,젓빺,,,เชี่ยชิบหาย
1355,젓어었더,,,เชี่ยชิหาย
1356,젓잡고,,,เชี่ยดอก
1357,젓카,,,เชี่ยตีน
1358,젖가,,,เชี่ยบ้าน
1359,젖같,,,เชี่ยป้อ
1360,젖까,,,เชี่ยพ่อ
1361,젖꺽쥐,,,เชี่ยพ่อง
1362,젖꺽지,,,เชี่ยฟราย
1363,젖꼭쥐,,,เชี่ยฟาย
1364,젖꼭지,,,เชี่ยระยำ
1365,젖대가리,,,เชี่ยสถุน
1366,젖더,,,เชี่ยสถุล
1367,젖도,,,เชี่ยส้นตรีน
1368,젖떠,,,เชี่ยส้นตีน
1369,젖또,,,เชี่ยสรัด
1370,젖마나,,,เชี่ยสัด
1371,젖만한,,,เชี่ยสัต
1372,젖밥,,,เชี่ยสัส
1373,젖빱,,,เชี่ยสาด
1374,젖빺,,,เชี่ยสาดด
1375,젖잡고,,,เซ็ก
1376,젖탱이,,,เซ็กจัด
1377,젗같,,,เซ็กซ์
1378,젗잡고,,,เด้า
1379,제수없다,,,เตี่ยม่องหรอ
1380,져까,,,เป.ร.ต.
1381,져꽈튼,,,เป็น ค ว ย อะไร
1382,져더,,,เปรด
1383,져떠,,,เปรต
1384,져빱,,,เมือกกาม
1385,졋같다,,,เย็ ด
1386,졎같다,,,เย็.ด
1387,조가튼,,,เยซู
1388,조가틍,,,เย็ด
1389,조건만남,,,เย้ด
1390,조까,,,เย๊ด
1391,조까치,,,เย็ต
1392,조까튼,,,เย็ท
1393,조깐냐,,,เลว!
1394,조깓,,,เลวมาก
1395,조깟,,,เลวสัด
1396,조깠,,,เลียแคม
1397,조깥,,,เลียแตด
1398,조깨,,,เลียครวย
1399,조께,,,เลียจิ๋ม
1400,조끗,,,เลียจู๋
1401,조끗네,,,เลียดอ
1402,조빠,,,เลียตีน
1403,조빱,,,เลียตูด
1404,조빺,,,เลียปลายตีน
1405,조쌔리뿔라,,,เลียฝ่าตีน
1406,조온나,,,เลียหมอย
1407,조옷,,,เลียหัวตีน
1408,조옷가튼,,,เลียหัวนม
1409,조옷같,,,เลียหี
1410,조옺,,,เวรตะไล
1411,조져버린다,,,เสียบเคย
1412,조진다,,,เสียบครวย
1413,조질래,,,เสียบจิ๋ม
1414,조카툰,,,เสียบจู๋
1415,족가튼,,,เสียบหมอย
1416,족가튼넘,,,เสียบหี
1417,족가튼년,,,เสียวจัง
1418,족간네,,,เสียวว้อย
1419,족갗,,,เสือก
1420,족같내,,,เห็ด
1421,족같네,,,เห็ดสด
1422,족같은,,,เหยด
1423,족까,,,เหย็ด
1424,족까치,,,เหี้ย
1425,존나,,,เอากันปะ
1426,존니,,,เอาทีดิ
1427,존라,,,เอาหัวนม
1428,존마,,,เฮี่ย
1429,존마난,,,เฮี้ย
1430,존마니,,,แ ต ด
1431,존만새끼,,,แ ตด
1432,존만아,,,แ ร ด
1433,존만한,,,แ รด
1434,존만히,,,แคม
1435,존먹어,,,แคมแตด
1436,졷,,,แคมจิ๋ม
1437,졸같은넘,,,แคมตูด
1438,졸까라,,,แคมหมอย
1439,좀마난,,,แคมหี
1440,좀마니,,,แดก
1441,좀물,,,แดกเชรี้ย
1442,좀쓰레기,,,แดกเชี่ย
1443,좁년,,,แดกเชี้ย
1444,좁물,,,แดกเมิง
1445,좁밥,,,แดกเห็ดสด
1446,좁빠라라,,,แดกเหี้ย
1447,좃가튼,,,แดกแคม
1448,좃간년,,,แดกแตด
1449,좃갔다,,,แดกแม่
1450,좃같,,,แดกแม่ง
1451,좃까,,,แดกแม่ม
1452,좃깟네,,,แดกแสรด
1453,좃깨,,,แดกโคด
1454,좃께,,,แดกโคตร
1455,좃나,,,แดกกรุ
1456,좃냄새,,,แดกกรู
1457,좃넘,,,แดกกะหรี่
1458,좃니재수야,,,แดกกุ
1459,좃대가리,,,แดกครวย
1460,좃대로,,,แดกจิ๋ม
1461,좃도,,,แดกจู๋
1462,좃떠,,,แดกชิบ
1463,좃또,,,แดกตรีน
1464,좃마무리,,,แดกตีน
1465,좃만아,,,แดกตูด
1466,좃만이,,,แดกปลายตรีน
1467,좃만한,,,แดกปลายตีน
1468,좃먹어,,,แดกป้อเมิง
1469,좃물,,,แดกฝ่าตรีน
1470,좃밥,,,แดกฝ่าตีน
1471,좃보지,,,แดกพ่อ
1472,좃봉지,,,แดกพ่อง
1473,좃부랄,,,แดกส้นตรีน
1474,좃빠구리,,,แดกส้นตีน
1475,좃빠네,,,แดกสรัด
1476,좃빠라,,,แดกสัด
1477,좃빱,,,แดกสัต
1478,좃빺,,,แดกสาด
1479,좃잡고,,,แดกสาดด
1480,좃털,,,แดกหมอย
1481,좆가튼,,,แดกหัวตรีน
1482,좆같,,,แดกหัวตีน
1483,좇가튼,,,แดกห่า
1484,좇같,,,แดกหี
1485,좋만한것,,,แต ด
1486,좌쉭,,,แตด
1487,좌슥,,,แทงเคย
1488,좝것,,,แทงครวย
1489,좨랄,,,แทงจิ๋ม
1490,좨수없다,,,แทงจู๋
1491,죠까틍,,,แทงตูด
1492,죠랄하네,,,แทงหมอย
1493,죠카태,,,แทงหี
1494,죠카테,,,แม่
1495,죠카툰,,,แม่ง
1496,죠콰떼,,,แมงดา
1497,죠콰태,,,แม่ตาย
1498,죠콰테,,,แม่ตายเหรอ
1499,죠콰퉤,,,แม่ตายหรอไงว่ะ
1500,죡,,,แม่มรึงตาย
1501,죤나,,,แม่มึงตาย
1502,죧같,,,แม่ย้อย
1503,죧만한,,,แมร่ง
1504,죳까,,,แย่เม็ด
1505,죵나,,,แสรด
1506,죶가튼,,,แหกแคม
1507,죶같은,,,แหกแตด
1508,주글년,,,แหกครวย
1509,주길년,,,แหกจิ๋ม
1510,죽구십냐,,,แหกจู๋
1511,죽구싶냐,,,แหกตีน
1512,죽을년,,,แหกตูด
1513,죽을놈,,,แหกฝ่าตีน
1514,죽이삔다,,,แหกรู
1515,죽일년,,,แหกส้นตีน
1516,죽일놈,,,แหกหมอย
1517,줴수없다,,,แหกหี
1518,쥐랄,,,แหวกแคม
1519,쥐럴,,,แหวกแตด
1520,쥐뢀,,,แหวกครวย
1521,쥐룰,,,แหวกจิ๋ม
1522,쥐세키,,,แหวกจู๋
1523,쥐이럴,,,แหวกตีน
1524,쥗,,,แหวกตูด
1525,즤랄,,,แหวกฝ่าตีน
1526,지랄,,,แหวกส้นตีน
1527,지럴,,,แหวกหมอย
1528,지롤,,,แหวกหี
1529,지뢀,,,โคดเชี่ย
1530,지룰,,,โคดเอี้ย
1531,지어미,,,โคดแม่
1532,지에미,,,โคดแม่ง
1533,지이랄,,,โคดแม่ม
1534,지이럴,,,โคดแมร่ง
1535,지져버려,,,โคดครวย
1536,지핥,,,โคดคุรวย
1537,질싸,,,โคดจังไร
1538,질알,,,โคดจัญไร
1539,질얼,,,โคดจันไร
1540,질올,,,โคดดอก
1541,질할,,,โคดตีน
1542,짜쥐,,,โคดป้อเมิง
1543,짜쥐털,,,โคดป้อมึง
1544,짜즤,,,โคดพ่อ
1545,짜지,,,โคดพ่อง
1546,짬지,,,โคดสัด
1547,짭새,,,โคดสัต
1548,짭쉐,,,โคดสาด
1549,쨔저,,,โค-ต-ร
1550,쨔져,,,โคตรเชี่ย
1551,쪼가리,,,โคตรเหี้ย
1552,쪼가튼,,,โคตรเอี้ย
1553,쪼갈,,,โคตรแม่
1554,쪼개지마,,,โคตรแม่ง
1555,쪼까,,,โคตรแม่ม
1556,쫃갇네,,,โคตรครวย
1557,쫃같네,,,โคตรคุรวย
1558,쫍밥,,,โคตรจังไร
1559,쫓같,,,โคตรจัญไร
1560,쬬개,,,โคตรจันไร
1561,쬬까,,,โคตรดอก
1562,쭀,,,โคตรตีน
1563,쭈둥아리,,,โคตรป้อเมิง
1564,쮜랄,,,โคตรป้อมึง
1565,찌랄,,,โคตรพ่อ
1566,찢어죽일년,,,โคตรพ่อง
1567,찢어죽일놈,,,โคตรสัด
1568,차앙녀,,,โคตรสัต
1569,창남,,,โคตรสาด
1570,창녀,,,โครตแม่
1571,창년,,,โครตพ่อ
1572,창놈,,,โครตพ่อโครตแม่
1573,창뇨,,,โม้ก
1574,창뇬,,,โม๊ก
1575,창여,,,โมกแตด
1576,처박다,,,โมกให้
1577,처죽일년,,,โมกครวย
1578,처죽일놈,,,โมกควย
1579,첫더,,,โมกคุวย
1580,쳐쑤셔박어,,,โมกจิ๋ม
1581,쳐죽인다,,,โมกจู๋
1582,쳐죽일것,,,โมกดอ
1583,쳐죽일년,,,โมกตูด
1584,쳐죽일놈,,,โมกหมอย
1585,쳤같다,,,โมกหี
1586,촌나시펄,,,โม้ค
1587,촌씨브라리,,,โม๊ค
1588,촌씨브랑이,,,โมคแตด
1589,촌씨브랭이,,,โมคให้
1590,촹뇬,,,โมคครวย
1591,춎마라라,,,โมคควย
1592,춎이다,,,โมคคุวย
1593,츠발,,,โมคจิ๋ม
1594,친넘,,,โมคจู๋
1595,캐병신,,,โมคดอ
1596,캐븅신,,,โมคตูด
1597,캐새끼,,,โมคหมอย
1598,캐쉐리,,,โมคหี
1599,캐쉑끼,,,โยกแตด
1600,컴색,,,โยกครวย
1601,컴세엑,,,โยกจิ๋ม
1602,컴섹,,,โยกจู๋
1603,컴쌕,,,โยกดอ
1604,컴쎅,,,โยกหี
1605,크리토리스,,,ในหลวง
1606,큰보지,,,ใอ้สัด
1607,클리토리스,,,ใอ้สัต
1608,튀껍냐,,,ไ อ่
1609,튀꼽,,,ไ อ้
1610,튀꼽냐,,,ไ.อ้.หั.ว.ถ.อ.ก
1611,티껍,,,ไ.อ้เ.ฮี้.ย
1612,티껍냐,,,ไปดูดนมแม่ไป
1613,티꼽,,,ไปตายซะ
1614,티꼽냐,,,ไปตายสะ
1615,티발,,,ไปตายห่า
1616,티이발,,,ไปหามารดาคุณ
1617,파큐,,,ไอ้
1618,패니스,,,ไอเชี่ย
1619,팰라치오,,,ไอเวน
1620,퍼르노,,,ไอเวร
1621,퍼큐,,,ไอครวย
1622,퍽유,,,ไอควาย
1623,퍽큐,,,ไอชาดชั่ว
1624,펀섹,,,ไอชาดหมา
1625,펔규,,,ไอชาติชั่ว
1626,펔뀨,,,ไอชาติหมา
1627,펔유,,,ไอฟราย
1628,펔큐,,,ไอฟาย
1629,페니스,,,ไอสัด
1630,페티걸,,,ไอสัต
1631,펠라치오,,,ไอสาด
1632,폐니스,,,ไอหอก
1633,폐티걸,,,ไอห่า
1634,폐티쉬,,,กระ ดอ
1635,폐티시,,,กระเจี้ยว
1636,포뀨,,,กระเจี๊ยว
1637,포로너,,,กระเจี๋ยว
1638,포로느,,,กระเด้า
1639,포르나,,,กระจู
1640,포르너,,,กระจู๋
1641,포르노,,,กระดอ
1642,포르로,,,กระทวย
1643,포온섹,,,กระรี่
1644,포큐,,,กระสัน
1645,폭뀨,,,กระหรี่
1646,폰색,,,กะเจี๊ยว
1647,폰섹,,,กะโปก
1648,폰쎅,,,กะดอ
1649,풀알,,,กะสัน
1650,할타,,,กะหรี่
1651,함주까,,,กัดครวย
1652,허뎝,,,กัดจิ๋ม
1653,허버리년,,,กัดจู๋
1654,헐렁보지,,,กัดดอ
1655,헴타이,,,กัดตูด
1656,혀로보지핧기,,,กัดหมอย
1657,혀로보지핱기,,,กัดหี
1658,호구쉐끼,,,กาเจี้ยว
1659,호냥년,,,กาก
1660,호러세귀,,,กาจู๋
1661,호빠,,,กาดอ
1662,호양년,,,กาหรี่
1663,호오로,,,ขนแตด
1664,호테스바,,,ขนครวย
1665,호테스빠,,,ขนจิ๋ม
1666,혼음,,,ขนจู๋
1667,홍어,,,ขนตูด
1668,화냥년,,,ขนหมอย
1669,화냥뇬,,,ขย่มเมิง
1670,후다,,,ขย่มแตด
1671,후라덜넘,,,ขย่มแม่
1672,후라들년,,,ขย่มแม่ง
1673,후래자식,,,ขย่มแม่ม
1674,후뢰자식,,,ขย่มครวย
1675,후릴년,,,ขย่มจิ๋ม
1676,후장,,,ขย่มจู๋
1677,후좡,,,ขย่มตูด
1678,흐접쌔끼,,,ขย่มพ่อ
1679,*노,,,ขย่มพ่อง
1680,*하노,,,ขย่มรู
1681,@!@,,,ขย่มหี
1682,18년,,,ขอรวมเพศหน่อย
1683,18놈,,,ขายไอดี
1684,18새끼,,,ขายตัว
1685,10발넘,,,ค . ว . ย
1686,10발년,,,ค ร ว ย
1687,10발놈,,,ค ร วย
1688,10발눔,,,ค รว ย
1689,10밸넘,,,ค รวย
1690,10밸놈,,,ค ว ย
1691,10밸늠,,,ค ว า ย
1692,10새끼,,,ค วย
1693,10새리,,,ค วา ย
1694,10쎄끼,,,ค*ย
1695,10앨넘,,,ค*ว*ย
1696,10앨놈,,,ค*วย
1697,10앨늠,,,ค......................................ย
1698,10팔년,,,ค........ว............ย.........
1699,10팔놈,,,ค.......ว*******p
1700,10팔연,,,ค.......ว*******ย
1701,10할년,,,ค.....ว...........ย
1702,10할연,,,ค....ว.....ย
1703,18세끼,,,ค...ย
1704,18쎄리,,,ค...ว...ย
1705,18쒜끼,,,ค..ย
1706,18쒜리,,,ค..ว..ย
1707,18쒝끼,,,ค..ว..ย..
1708,18씨끼,,,ค.ร.ว.ย
1709,18냔,,,ค.รวย
1710,18눔,,,ค.ว.ย
1711,18쇠끼,,,ค.ว.ย.
1712,18쉑끼,,,ค.วย
1713,69전문,,,ค//ว//ย
1714,ABUSE,,,ค/ว/ย
1715,anal,,,ค^ว^ย
1716,annal,,,ค~ว~ย
1717,anul,,,ค\ว\ย
1718,APFHD,,,ค+ว+ย
1719,arabozi,,,คvย
1720,ASS,,,คคคคคคววววววววววยยยยยย
1721,asshole,,,ค-ย
1722,bastard,,,คร วย 
1723,BDSM,,,ครว ย
1724,Beaber,,,ครวย
1725,BESTBOZI,,,คร-วย
1726,BINYA,,,ค-ร-ว-ย
1727,bo지,,,ครวยเกย์
1728,callgirl,,,ครวยเกรียน
1729,CARPORNO,,,ครวยเงี่ยน
1730,CLUBERO,,,ครวยเชรี้ย
1731,COMESEK,,,ครวยเชี่ย
1732,CONDOM,,,ครวยเชี้ย
1733,ECSTASY,,,ครวยเท่า
1734,ERO,,,ครวยเปรด
1735,Faggot,,,ครวยเปรต
1736,fellatio,,,ครวยเปียก
1737,FEMSUB,,,ครวยเล็ก
1738,fetish,,,ครวยเล้ก
1739,fucku,,,ครวยเหี้ย
1740,FuckingAsshole,,,ครวยเอี้ย
1741,FuckingBastard,,,ครวยแม่
1742,fuck-you,,,ครวยแม่ง
1743,GABOZI,,,ครวยแม่ม
1744,gay,,,ครวยแมร่ง
1745,homo,,,ครวยแสรด
1746,HOTBOJY,,,ครวยแหก
1747,ja지,,,ครวยใหญ่
1748,jokka,,,ครวยกรุ
1749,KIA,,,ครวยกรู
1750,lesbian,,,ครวยกะเทย
1751,lesbo,,,ครวยกุ
1752,lessy,,,ครวยกู
1753,Meatpuppet,,,ครวยควาย
1754,nude,,,ครวยจังไร
1755,oral,,,ครวยจัญไร
1756,orgasm,,,ครวยจันไร
1757,panis,,,ครวยจิ๋ว
1758,PETISH,,,ครวยตั้ง
1759,PHONE색,,,ครวยตุ๊ด
1760,PJ,,,ครวยน้ำแตก
1761,PLAYBO,,,ครวยบวม
1762,SausageJockey,,,ครวยบ้าน
1763,sex해,,,ครวยป้อเมิง
1764,sex하자,,,ครวยป้อมึง
1765,ssiba,,,ครวยป๊ะ
1766,strip,,,ครวยพ่อ
1767,swap,,,ครวยพอง
1768,TVBOZI,,,ครวยพ่อง
1769,UncleFucker,,,ครวยพัง
1770,YAHANNOM,,,ครวยฟราย
1771,ㄱㅐ넘,,,ครวยฟาย
1772,ㄱㅐ년,,,ครวยยั่ย
1773,ㄱㅐ놈,,,ครวยยืด
1774,ㄱㅐㅅㅐㄲㅣ,,,ครวยระยำ
1775,ㄱㅐㅅㅐ끼,,,ครวยล่ำ
1776,ㄱㅐ늠,,,ครวยสรัด
1777,ㄱㅐ지랄,,,ครวยสัด
1778,ㄱH뇬,,,ครวยสัต
1779,ㄱR슴,,,ครวยสัส
1780,ㄱㅐ눔,,,ครวยสาด
1781,ㄱㅐ조옷,,,ครวยหด
1782,ㄱㅐ새ㄲㅣ,,,ครวยหนัก
1783,ㄱㅐ새끼,,,ครวยหย่าย
1784,가랑이,,,ครวยห่า
1785,가슴,,,ครวยหี
1786,가슴만져,,,คว ย
1787,가슴빨아,,,คว*
1788,가슴빨어,,,คว*ย
1789,가슴조물락,,,คว...............ย
1790,가슴주물럭,,,คว.ย
1791,가슴쪼물딱,,,ควญ
1792,가슴쪼물락,,,ควย
1793,가슴핧아,,,คว-ย
1794,가슴핧어,,,คว--ย
1795,간잽이,,,ค-วย
1796,가카,,,ค-ว-ย
1797,간철수,,,ค---ว---ย
1798,갓베,,,คว-ย 
1799,갓카,,,คววย
1800,강간한다,,,ควววย
1801,개가튼년,,,คววววย
1802,개가튼뇬,,,ควววววย
1803,개같은년,,,คววววววย
1804,개고치,,,ควววววววย
1805,개너미,,,คววววววววย
1806,개라슥,,,ควววววววววย
1807,개부달,,,คววววววววววย
1808,개ㅅㅐㄲㅣ,,,ควววววววววววย
1809,개새야,,,คว-าย
1810,개색기,,,ค-ว-า-ย
1811,개색끼,,,ควายเอ้ย
1812,개샛키,,,ควายจริงๆ
1813,개샛끼,,,ควายจิงๆ
1814,개샤킥,,,ควายย
1815,개샥,,,คอ-ว-ย
1816,개섺,,,คาครวย
1817,개셃,,,คาจิ๋ม
1818,개셋키,,,คาจู๋
1819,개셐,,,คาหมอย
1820,개솩,,,คาหี
1821,개쇗,,,คุวย
1822,개쇸,,,ฅ ว ย
1823,개쉐리,,,ฅ วย
1824,개쉐키,,,ฅว ย
1825,개쉑기,,,ฅวย
1826,개쉑끼,,,ฅว-ย
1827,개쉑키,,,ฅ-วย
1828,개쉢,,,ฅ-ว-ย
1829,개쉨,,,ฆ วย
1830,개싀기,,,ฆว ย
1831,개싀끼,,,ฆวย
1832,개싀밸,,,ฆ่าแม่ง
1833,개싀킈,,,ฆ่าแม่ม
1834,개싀키,,,ฆ่าพ่อง
1835,개싏,,,จรรไร
1836,개싘,,,จัง ไร
1837,개싯기,,,จังไร
1838,개싯끼,,,จัญไร
1839,개싴,,,จันไร
1840,개쌍눔,,,จิ๋มเช้ด
1841,개쌍늠,,,จิ๋มเชร้ด
1842,개쌍연,,,จิ๋มเชรี้ย
1843,개쌕,,,จิ๋มเชี่ย
1844,개썅년,,,จิ๋มเชี้ย
1845,개썅연,,,จิ๋มเน่า
1846,개쒜,,,จิ๋มเปรด
1847,개쒜끼,,,จิ๋มเปรต
1848,개쒝기,,,จิ๋มเปียก
1849,개쒝끼,,,จิ๋มเมิง
1850,개쒸,,,จิ๋มเย็ด
1851,개씨끼,,,จิ๋มเย้ด
1852,개씨팕,,,จิ๋มเล็ก
1853,개씨발넘,,,จิ๋มเล้ก
1854,개씨발자슥,,,จิ๋มเห็ดสด
1855,개자싁,,,จิ๋มเหม็น
1856,개후라년,,,จิ๋มเหี้ย
1857,개후라들놈,,,จิ๋มเหี่ยว
1858,개후라새끼,,,จิ๋มเอี้ย
1859,개가턴,,,จิ๋มแดก
1860,개같은놈,,,จิ๋มแม่
1861,개거얼레,,,จิ๋มแม่ง
1862,개같은뇬,,,จิ๋มแม่ม
1863,개거얼래,,,จิ๋มแรด
1864,개걸래,,,จิ๋มแสรด
1865,개너마,,,จิ๋มแหก
1866,개노마,,,จิ๋มแห้ง
1867,개농아,,,จิ๋มใหญ่
1868,개뇨나,,,จิ๋มกรุ
1869,개느마,,,จิ๋มกรู
1870,개또라이,,,จิ๋มกะเทย
1871,개박살,,,จิ๋มกะหรี่
1872,개보지년,,,จิ๋มกุ
1873,개부럴,,,จิ๋มกู
1874,개부알,,,จิ๋มขึ้นรา
1875,개새ㄲㅣ,,,จิ๋มครวย
1876,개새꺄,,,จิ๋มควย
1877,개새리,,,จิ๋มควาย
1878,개새이,,,จิ๋มคุวย
1879,개색꺄,,,จิ๋มจังไร
1880,개색뀌,,,จิ๋มจัญไร
1881,개색휘,,,จิ๋มจันไร
1882,개색히,,,จิ๋มชะนี
1883,개세끼,,,จิ๋มช้าง
1884,개셰이,,,จิ๋มตุ๊ด
1885,개쇄끼,,,จิ๋มบวม
1886,개쇅갸,,,จิ๋มบาง
1887,개쇅기,,,จิ๋มบาน
1888,개쇅꺄,,,จิ๋มบ้าน
1889,개쇅끼,,,จิ๋มประถม
1890,개쇅캬,,,จิ๋มปลวก
1891,개쇅키,,,จิ๋มป้อเมิง
1892,개쇗기,,,จิ๋มป้อมึง
1893,개쉐뀌,,,จิ๋มป๊ะ
1894,개쉐끼,,,จิ๋มพ่อ
1895,개쉐이,,,จิ๋มพอง
1896,개쉑갸,,,จิ๋มพ่อง
1897,개쉑꺄,,,จิ๋มพัง
1898,개쉑아,,,จิ๋มมด
1899,개쉑이,,,จิ๋มมหาลัย
1900,개쉑캬,,,จิ๋มมึง
1901,개쉑히,,,จิ๋มระยำ
1902,개스래기,,,จิ๋มร้าง
1903,개스레기,,,จิ๋มร่าน
1904,개십팔,,,จิ๋มลอก
1905,개쌍영,,,จิ๋มสถุน
1906,개쌔꺄,,,จิ๋มสถุล
1907,개쌔끼,,,จิ๋มส้นตรีน
1908,개쌕끼,,,จิ๋มส้นตีน
1909,개썅넘,,,จิ๋มสรัด
1910,개썅놈,,,จิ๋มสัด
1911,개썅늠,,,จิ๋มสัต
1912,개쎄,,,จิ๋มสาด
1913,개쎅,,,จิ๋มสุก
1914,개쐐리,,,จิ๋มหนา
1915,개쒝,,,จิ๋มหยั่ย
1916,개쒝갸,,,จิ๋มหย่าย
1917,개쒝꺄,,,จิ๋มห่า
1918,개쒝캬,,,จิ๋มอนุบาล
1919,개쒝키,,,จีเอ็ม
1920,개쒯,,,จุลจอมเกล้า
1921,개쒹기,,,จุฬาลงกรณ์
1922,개씁년,,,จู๋
1923,개씁블,,,จู๋เกย์
1924,개씁자지,,,จู๋เกรียน
1925,개씌끼,,,จู๋เงี่ยน
1926,개씨발뇸,,,จู๋เชรี้ย
1927,개씹창,,,จู๋เชี่ย
1928,개씹팔,,,จู๋เชี้ย
